Date,Border,Monthly_Crossings,Year,Month,Month_Name
2023-12-01,Mexico,23384517,2023,12,December
2024-01-01,Canada,5235491,2024,1,January
2024-01-01,Mexico,21517265,2024,1,January
2024-02-01,Canada,5553414,2024,2,February
2024-02-01,Mexico,21625372,2024,2,February
2024-03-01,Canada,6615667,2024,3,March
2024-03-01,Mexico,23754978,2024,3,March
2024-04-01,Canada,6420099,2024,4,April
2024-04-01,Mexico,23263183,2024,4,April
2024-05-01,Canada,7327974,2024,5,May
2024-05-01,Mexico,23798752,2024,5,May
2024-06-01,Canada,7896159,2024,6,June
2024-06-01,Mexico,22770593,2024,6,June
2024-07-01,Canada,9437171,2024,7,July
2024-07-01,Mexico,23825094,2024,7,July
2024-08-01,Canada,9846338,2024,8,August
2024-08-01,Mexico,23795457,2024,8,August
2024-09-01,Canada,7448569,2024,9,September
2024-09-01,Mexico,23253982,2024,9,September
2024-10-01,Canada,7246849,2024,10,October
2024-10-01,Mexico,24112039,2024,10,October
2024-11-01,Canada,6446254,2024,11,November
2024-11-01,Mexico,23590098,2024,11,November
2024-12-01,Canada,6610310,2024,12,December
2024-12-01,Mexico,25132350,2024,12,December
2025-01-01,Canada,5593473,2025,1,January
2025-01-01,Mexico,23320444,2025,1,January
2025-02-01,Canada,4796915,2025,2,February
2025-02-01,Mexico,20772993,2025,2,February
2025-03-01,Canada,5463763,2025,3,March
2025-03-01,Mexico,22902597,2025,3,March
2025-04-01,Canada,4991445,2025,4,April
2025-04-01,Mexico,23143222,2025,4,April
2025-05-01,Canada,5010455,2025,5,May
2025-05-01,Mexico,22743220,2025,5,May
